SubNo,TrialNo,Mapping,State,Resp,Acc,Reward,Balance,ReactionTime,UncerCond,RewardedOrNot
2,136,0,0,0,1,10,770,1000,SU,1
2,137,0,1,1,1,10,780,1266,SU,1
2,138,0,1,1,1,10,790,1083,SU,1
2,139,0,1,1,1,10,800,1350,SU,1
2,140,0,1,1,1,10,810,1016,SU,1
2,141,0,0,0,1,10,820,1333,SU,1
2,142,0,1,0,0,0,820,1333,SU,0
2,143,0,0,0,1,10,830,700,SU,1
2,144,0,1,1,1,10,840,1166,SU,1
2,145,0,0,0,1,10,850,933,SU,1
2,146,0,1,0,0,0,850,1450,SU,0
2,147,0,1,0,0,0,850,766,SU,0
2,148,0,1,1,1,10,860,1083,SU,1
2,149,0,1,1,1,10,870,866,SU,1
2,150,0,1,0,0,0,870,850,SU,0
2,151,0,0,1,0,0,870,1250,SU,0
2,152,0,1,0,0,0,870,800,SU,0
2,153,0,0,1,0,0,870,1050,SU,0
2,154,0,0,0,1,10,880,683,SU,1
2,155,0,0,1,0,0,880,866,SU,0
2,156,0,0,0,1,10,890,616,SU,1
2,157,0,1,1,1,10,900,1283,SU,1
2,158,0,1,1,1,10,910,1100,SU,1
2,159,0,1,1,1,10,920,1183,SU,1
2,160,0,0,1,0,0,920,1466,SU,0
2,161,0,0,1,0,0,920,983,SU,0
2,162,0,1,1,1,10,930,983,SU,1
2,163,0,0,1,0,0,930,1783,SU,0
2,164,0,1,0,0,0,930,966,SU,0
2,165,0,0,0,1,10,940,816,SU,1
2,166,0,0,1,0,0,940,883,SU,0
2,167,0,0,0,1,10,950,766,SU,1
2,168,0,0,0,1,10,960,1583,SU,1
2,169,0,1,1,1,10,970,1383,SU,1
2,170,0,0,1,0,0,970,1500,SU,0
2,171,0,1,0,0,0,970,700,SU,0
2,172,0,1,1,1,10,980,1233,SU,1
2,173,0,0,1,0,0,980,1950,SU,0
2,174,0,1,1,1,10,990,950,SU,1
2,175,0,0,0,1,10,1000,1733,SU,1
2,176,0,1,1,1,10,1010,833,SU,1
2,177,0,1,1,1,10,1020,1150,SU,1
2,178,0,0,0,1,10,1030,733,SU,1
2,179,0,0,0,1,10,1040,1183,SU,1
2,180,0,1,1,1,10,1050,1066,SU,1
2,181,0,0,0,1,10,1060,933,SU,1
2,182,0,1,1,1,10,1070,983,SU,1
2,183,0,1,1,1,10,1080,1050,SU,1
2,184,0,1,1,1,10,1090,716,SU,1
2,185,0,0,1,0,0,1090,1066,SU,0
2,186,0,0,0,1,10,1100,616,SU,1
2,187,0,1,0,0,0,1100,1000,SU,0
2,188,0,0,0,1,10,1110,833,SU,1
2,189,0,1,0,0,0,1110,783,SU,0
2,190,0,0,0,1,10,1120,650,SU,1
2,191,0,1,1,1,10,1130,1183,SU,1
2,192,0,0,1,0,0,1130,866,SU,0
2,193,0,0,1,0,0,1130,900,SU,0
2,194,0,0,0,1,10,1140,816,SU,1
2,195,0,1,1,1,10,1150,1400,SU,1
2,196,0,0,1,0,0,1150,1916,SU,0
2,197,0,1,1,1,10,1160,766,SU,1
2,198,0,0,0,1,10,1170,950,SU,1
2,199,0,0,0,1,10,1180,1850,SU,1
2,200,0,1,0,0,0,1180,1100,SU,0
3,1,0,0,1,0,0,0,4568,SU,0
3,2,0,1,1,1,10,10,1349,SU,1
3,3,0,0,1,0,0,10,816,SU,0
3,4,0,0,0,1,10,20,2768,SU,1
3,5,0,1,1,1,10,30,2381,SU,1
3,6,0,0,0,1,10,40,1633,SU,1
3,7,0,0,0,1,10,50,1266,SU,1
3,8,0,0,0,1,10,60,883,SU,1
3,9,0,0,0,1,10,70,500,SU,1
3,10,0,0,0,1,10,80,516,SU,1
3,11,0,0,0,1,10,90,550,SU,1
3,12,0,0,0,1,10,100,633,SU,1
3,13,0,1,1,1,10,110,966,SU,1
3,14,0,0,0,1,10,120,450,SU,1
3,15,0,1,1,1,10,130,816,SU,1
3,16,0,1,1,1,10,140,783,SU,1
3,17,0,1,1,1,10,150,750,SU,1
3,18,0,0,0,1,10,160,650,SU,1
3,19,0,1,1,1,10,170,583,SU,1
3,20,0,0,1,0,0,170,2650,SU,0
3,21,0,1,1,1,10,180,733,SU,1
3,22,0,1,1,1,10,190,716,SU,1
3,23,0,1,1,1,10,200,600,SU,1
3,24,0,0,0,1,10,210,733,SU,1
3,25,0,1,1,1,10,220,1116,SU,1
3,26,0,0,1,0,0,220,1567,SU,0
3,27,0,1,1,1,10,230,750,SU,1
3,28,0,1,1,1,10,240,700,SU,1
3,29,0,0,0,1,10,250,566,SU,1
3,30,0,0,0,1,10,260,516,SU,1
3,31,0,1,1,1,10,270,783,SU,1
3,32,0,1,1,1,10,280,433,SU,1
3,33,0,1,1,1,10,290,566,SU,1
3,34,0,0,0,1,10,300,700,SU,1
3,35,0,0,0,1,10,310,500,SU,1
3,36,0,1,1,1,10,320,666,SU,1
3,37,0,0,0,1,10,330,1016,SU,1
3,38,0,1,1,1,10,340,466,SU,1
3,39,0,1,1,1,10,350,616,SU,1
3,40,0,0,0,1,10,360,500,SU,1
3,41,0,1,1,1,10,370,616,SU,1
3,42,0,1,1,1,10,380,550,SU,1
3,43,0,1,1,1,10,390,533,SU,1
3,44,0,0,0,1,10,400,650,SU,1
3,45,0,1,1,1,10,410,800,SU,1
3,46,0,1,1,1,10,420,516,SU,1
3,47,0,0,0,1,10,430,600,SU,1
3,48,0,1,0,0,0,430,616,SU,0
3,49,0,1,1,1,10,440,750,SU,1
3,50,0,0,0,1,10,450,566,SU,1
3,51,0,1,1,1,10,460,800,SU,1
3,52,0,1,1,1,10,470,783,SU,1
3,53,0,0,0,1,10,480,633,SU,1
3,54,0,0,0,1,10,490,466,SU,1
3,55,0,1,1,1,10,500,483,SU,1
3,56,0,0,0,1,10,510,950,SU,1
3,57,0,0,0,1,10,520,533,SU,1
3,58,0,1,1,1,10,530,666,SU,1
3,59,0,0,1,0,0,530,566,SU,0
3,60,0,1,1,1,10,540,850,SU,1
3,61,0,0,0,1,10,550,516,SU,1
3,62,0,0,0,1,10,560,500,SU,1
3,63,0,1,0,0,0,560,7016,SU,0
3,64,0,1,1,1,10,570,2933,SU,1
3,65,0,0,0,1,10,580,1516,SU,1
3,66,0,0,1,0,0,580,800,SU,0
3,67,0,1,1,1,10,590,533,SU,1
3,68,0,1,1,1,10,600,666,SU,1
3,69,0,0,0,1,10,610,1000,SU,1
3,70,0,1,1,1,10,620,700,SU,1
3,71,0,0,1,0,0,620,1033,SU,0
3,72,0,0,0,1,10,630,650,SU,1
3,73,0,0,0,1,10,640,433,SU,1
3,74,0,0,0,1,10,650,516,SU,1
3,75,0,0,0,1,10,660,550,SU,1
3,76,0,1,0,0,0,660,1166,SU,0
3,77,0,0,1,0,0,660,866,SU,0
3,78,0,1,0,0,0,660,850,SU,0
3,79,0,1,1,1,10,670,1033,SU,1
3,80,0,0,1,0,0,670,1050,SU,0
3,81,0,1,0,0,0,670,1683,SU,0
3,82,0,1,1,1,10,680,733,SU,1
3,83,0,0,1,0,0,680,666,SU,0
3,84,0,1,1,1,10,690,783,SU,1
3,85,0,1,0,0,0,690,1133,SU,0
3,86,0,1,1,1,10,700,900,SU,1
3,87,0,0,0,1,10,710,983,SU,1
3,88,0,1,1,1,10,720,583,SU,1
3,89,0,0,0,1,10,730,616,SU,1
3,90,0,0,0,1,10,740,666,SU,1
3,91,0,0,0,1,10,750,550,SU,1
3,92,0,0,0,1,10,760,750,SU,1
3,93,0,1,0,0,0,760,600,SU,0
3,94,0,0,0,1,10,770,1050,SU,1
3,95,0,1,1,1,10,780,816,SU,1
3,96,0,1,0,0,0,780,1166,SU,0
3,97,0,1,1,1,10,790,766,SU,1
3,98,0,1,1,1,10,800,683,SU,1
3,99,0,0,1,0,0,800,8650,SU,0
3,100,0,0,1,0,0,800,716,SU,0
3,101,1,1,0,0,0,800,583,SU,0
3,102,1,1,1,1,10,810,600,SU,1
3,103,1,1,0,0,0,810,1250,SU,0
3,104,1,1,1,1,10,820,1583,SU,1
3,105,1,1,0,0,0,820,600,SU,0
3,106,1,0,1,0,0,820,1400,SU,0
3,107,1,1,0,0,0,820,3983,SU,0
3,108,1,0,0,1,10,830,2150,SU,1
3,109,1,1,1,1,10,840,566,SU,1
3,110,1,1,1,1,10,850,866,SU,1
3,111,1,0,1,0,0,850,916,SU,0
3,112,1,1,1,1,10,860,883,SU,1
3,113,1,0,1,0,0,860,1583,SU,0
3,114,1,1,1,1,10,870,1866,SU,1
3,115,1,1,1,1,10,880,816,SU,1
3,116,1,0,0,1,10,890,1233,SU,1
3,117,1,1,1,1,10,900,933,SU,1
3,118,1,0,0,1,10,910,683,SU,1
3,119,1,1,1,1,10,920,1233,SU,1
3,120,1,0,0,1,10,930,1533,SU,1
3,121,1,0,0,1,10,940,1700,SU,1
3,122,1,1,1,1,10,950,950,SU,1
3,123,1,1,1,1,10,960,916,SU,1
3,124,1,1,1,1,10,970,1166,SU,1
3,125,1,1,1,1,10,980,650,SU,1
3,126,1,1,1,1,10,990,1066,SU,1
3,127,1,1,1,1,10,1000,550,SU,1
3,128,1,0,0,1,10,1010,633,SU,1
3,129,1,0,0,1,10,1020,716,SU,1
3,130,1,1,1,1,10,1030,633,SU,1
3,131,1,1,1,1,10,1040,750,SU,1
3,132,1,0,0,1,10,1050,916,SU,1
3,133,1,1,1,1,10,1060,800,SU,1
3,134,1,1,1,1,10,1070,1316,SU,1
3,135,1,1,1,1,10,1080,4216,SU,1
3,136,1,0,0,1,10,1090,900,SU,1
3,137,1,0,1,0,0,1090,1750,SU,0
3,138,1,0,0,1,10,1100,1550,SU,1
3,139,1,0,1,0,0,1100,2416,SU,0
3,140,1,0,1,0,0,1100,1150,SU,0
3,141,1,1,0,0,0,1100,733,SU,0
3,142,1,1,1,1,10,1110,766,SU,1
3,143,1,0,1,0,0,1110,533,SU,0
3,144,1,0,0,1,10,1120,766,SU,1
3,145,1,1,1,1,10,1130,783,SU,1
3,146,1,0,0,1,10,1140,483,SU,1
3,147,1,0,0,1,10,1150,866,SU,1
3,148,1,0,0,1,10,1160,933,SU,1
3,149,1,0,0,1,10,1170,1466,SU,1
3,150,1,0,0,1,10,1180,583,SU,1
3,151,1,0,0,1,10,1190,516,SU,1
3,152,1,1,1,1,10,1200,1150,SU,1
3,153,1,1,1,1,10,1210,1033,SU,1
3,154,1,0,1,0,0,1210,1000,SU,0
3,155,1,0,1,0,0,1210,983,SU,0
3,156,1,0,1,0,0,1210,883,SU,0
3,157,1,0,1,0,0,1210,1333,SU,0
3,158,1,0,1,0,0,1210,1616,SU,0
3,159,1,0,1,0,0,1210,516,SU,0
3,160,1,1,1,1,10,1220,1450,SU,1
3,161,1,0,1,0,0,1220,2800,SU,0
3,162,1,1,1,1,10,1230,716,SU,1
3,163,1,0,0,1,10,1240,1300,SU,1
3,164,1,1,1,1,10,1250,850,SU,1
3,165,1,1,0,0,0,1250,1466,SU,0
3,166,1,1,1,1,10,1260,1300,SU,1
3,167,1,1,1,1,10,1270,550,SU,1
3,168,1,0,0,1,10,1280,750,SU,1
3,169,1,0,0,1,10,1290,933,SU,1
3,170,1,1,1,1,10,1300,3683,SU,1
3,171,1,1,0,0,0,1300,1450,SU,0
3,172,1,1,1,1,10,1310,650,SU,1
3,173,1,0,0,1,10,1320,650,SU,1
3,174,1,1,0,0,0,1320,3133,SU,0
3,175,1,0,1,0,0,1320,1666,SU,0
3,176,1,1,0,0,0,1320,783,SU,0
3,177,1,0,1,0,0,1320,616,SU,0
3,178,1,1,1,1,10,1330,983,SU,1
3,179,1,1,1,1,10,1340,1166,SU,1
3,180,1,1,1,1,10,1350,633,SU,1
3,181,1,0,1,0,0,1350,533,SU,0
