"","SubNo","TrialNo","Mapping","State","Resp","Acc","Reward","Balance","ReactionTime","UncerCond","RewardedOrNot","RewardProp_WTA","RewardProp_PWRL","RewardProp_BISAW","RewardSucc_WTA","RewardSucc_PWRL","RewardSucc_BISAW","RewardFail_WTA","RewardFail_PWRL","RewardFail_BISAW"
"191",1,191,0,0,0,1,10,930,683,"SU",1,0.44,0.54,0.59,44,54,59,56,46,41
"192",1,192,0,0,1,0,0,930,1366,"SU",0,0.48,0.57,0.5,48,57,50,52,43,50
"193",1,193,0,1,0,0,0,930,1200,"SU",0,0.36,0.3,0.54,36,30,54,64,70,46
"194",1,194,0,1,1,1,10,940,750,"SU",1,0.4,0.3,0.49,40,30,49,60,70,51
"195",1,195,0,1,0,0,0,940,883,"SU",0,0.45,0.29,0.43,45,29,43,55,71,57
"196",1,196,0,1,1,1,10,950,650,"SU",1,0.44,0.43,0.52,44,43,52,56,57,48
"197",1,197,0,1,1,1,10,960,866,"SU",1,0.53,0.33,0.49,53,33,49,47,67,51
"198",1,198,0,0,1,0,0,960,800,"SU",0,0.59,0.5,0.55,59,50,55,41,50,45
"199",1,199,0,1,0,0,0,960,716,"SU",0,0.46,0.44,0.52,46,44,52,54,56,48
"200",1,200,0,1,0,0,0,960,1433,"SU",0,0.53,0.37,0.46,53,37,46,47,63,54
"201",2,1,1,1,0,0,0,0,2450,"SU",0,0.47,0.48,0.55,47,48,55,53,52,45
"202",2,2,1,0,0,1,10,10,1116,"SU",1,0.48,0.44,0.48,48,44,48,52,56,52
"203",2,3,1,0,0,1,10,20,1016,"SU",1,0.63,0.56,0.53,63,56,53,37,44,47
"204",2,4,1,0,0,1,10,30,833,"SU",1,0.5,0.57,0.52,50,57,52,50,43,48
"205",2,5,1,0,0,1,10,40,700,"SU",1,0.57,0.57,0.67,57,57,67,43,43,33
"206",2,6,1,1,0,0,0,40,766,"SU",0,0.42,0.49,0.48,42,49,48,58,51,52
"207",2,7,1,1,1,1,10,50,1116,"SU",1,0.54,0.54,0.52,54,54,52,46,46,48
"208",2,8,1,1,0,0,0,50,1116,"SU",0,0.52,0.69,0.59,52,69,59,48,31,41
"209",2,9,1,0,1,0,0,50,1100,"SU",0,0.62,0.54,0.63,62,54,63,38,46,37
"210",2,10,1,1,0,0,0,50,1016,"SU",0,0.61,0.64,0.58,61,64,58,39,36,42
"211",2,11,1,0,0,1,10,60,1300,"SU",1,0.49,0.55,0.52,49,55,52,51,45,48
"212",2,12,1,0,0,1,10,70,1016,"SU",1,0.59,0.54,0.57,59,54,57,41,46,43
"213",2,13,1,1,0,0,0,70,900,"SU",0,0.54,0.56,0.58,54,56,58,46,44,42
"214",2,14,1,0,0,1,10,80,633,"SU",1,0.5,0.6,0.62,50,60,62,50,40,38
"215",2,15,1,1,1,1,10,90,1100,"SU",1,0.59,0.52,0.52,59,52,52,41,48,48
"216",2,16,1,1,0,0,0,90,933,"SU",0,0.61,0.51,0.65,61,51,65,39,49,35
"217",2,17,1,1,1,1,10,100,950,"SU",1,0.69,0.62,0.62,69,62,62,31,38,38
"218",2,18,1,1,0,0,0,100,750,"SU",0,0.66,0.55,0.59,66,55,59,34,45,41
"219",2,19,1,0,0,1,10,110,916,"SU",1,0.6,0.56,0.66,60,56,66,40,44,34
"220",2,20,1,0,0,1,10,120,1383,"SU",1,0.6,0.64,0.6,60,64,60,40,36,40
"221",2,21,1,0,1,0,0,120,1650,"SU",0,0.62,0.56,0.65,62,56,65,38,44,35
"222",2,22,1,0,0,1,10,130,966,"SU",1,0.71,0.66,0.63,71,66,63,29,34,37
"223",2,23,1,1,1,1,10,140,1100,"SU",1,0.58,0.56,0.57,58,56,57,42,44,43
"224",2,24,1,1,0,0,0,140,916,"SU",0,0.56,0.59,0.71,56,59,71,44,41,29
"225",2,25,1,1,1,1,10,150,1100,"SU",1,0.59,0.64,0.62,59,64,62,41,36,38
"226",2,26,1,0,0,1,10,160,866,"SU",1,0.54,0.62,0.52,54,62,52,46,38,48
"227",2,27,1,0,0,1,10,170,950,"SU",1,0.58,0.57,0.57,58,57,57,42,43,43
"228",2,28,1,1,1,1,10,180,983,"SU",1,0.57,0.56,0.62,57,56,62,43,44,38
"229",2,29,1,1,1,1,10,190,1366,"SU",1,0.53,0.59,0.53,53,59,53,47,41,47
"230",2,30,1,1,1,1,10,200,766,"SU",1,0.61,0.55,0.63,61,55,63,39,45,37
"231",2,31,1,1,0,0,0,200,1000,"SU",0,0.61,0.55,0.51,61,55,51,39,45,49
"232",2,32,1,0,0,1,10,210,800,"SU",1,0.51,0.53,0.54,51,53,54,49,47,46
"233",2,33,1,1,1,1,10,220,1083,"SU",1,0.59,0.62,0.7,59,62,70,41,38,30
"234",2,34,1,0,0,1,10,230,1150,"SU",1,0.59,0.6,0.64,59,60,64,41,40,36
"235",2,35,1,1,1,1,10,240,700,"SU",1,0.57,0.59,0.62,57,59,62,43,41,38
"236",2,36,1,0,1,0,0,240,2916,"SU",0,0.59,0.61,0.63,59,61,63,41,39,37
"237",2,37,1,0,0,1,10,250,1716,"SU",1,0.6,0.64,0.61,60,64,61,40,36,39
"238",2,38,1,1,1,1,10,260,900,"SU",1,0.61,0.55,0.55,61,55,55,39,45,45
"239",2,39,1,0,1,0,0,260,3650,"SU",0,0.57,0.53,0.51,57,53,51,43,47,49
"240",2,40,1,1,0,0,0,260,900,"SU",0,0.58,0.69,0.55,58,69,55,42,31,45
"241",2,41,1,1,0,0,0,260,1016,"SU",0,0.62,0.51,0.55,62,51,55,38,49,45
"242",2,42,1,0,1,0,0,260,700,"SU",0,0.52,0.59,0.57,52,59,57,48,41,43
